,COD,precipitaciones
0,23094,0.0
1,23055,1.5999999999999999
2,23057,2.1
3,23046,1.5
4,14069,0.2
5,14021,1.3000000000000003
6,18915,0.9
7,18135,6.4
8,18189,0.5
9,18011,0.7
10,18010,1.2
11,18132,3.0
12,18159,0.1
13,18194,0.6000000000000001
14,23003,2.6
15,23034,2.4
16,41056,1.9
17,41095,1.7
18,41904,-1.0
19,41065,2.2
20,41049,0.6000000000000001
21,41066,-1.0
22,14005,2.8
23,41082,0.2
24,41026,1.0
25,23050,2.3
26,23099,2.6
27,23009,1.5999999999999999
28,23074,1.5
29,23020,1.5
30,23005,1.6
31,18089,0.1
32,18086,0.1
33,18064,0.6000000000000001
34,18078,0.6000000000000001
35,18158,3.4000000000000004
36,18048,3.5
37,18115,3.5
38,18079,3.8
39,18068,4.5
40,18084,1.6
41,18149,2.2
42,18059,3.5
43,18175,2.6
44,41014,0.2
45,18122,7.0
46,41039,0.7
47,14060,0.5
48,41041,0.2
49,14033,2.1
50,14043,0.6
51,14038,0.1
52,14025,0.4
53,14019,0.6000000000000001
54,14049,1.5000000000000002
55,14056,0.4
56,41050,0.5
57,41055,2.0
58,41074,1.5000000000000002
59,14036,1.8
60,14030,1.7000000000000002
61,14053,2.1
62,14018,0.8
63,14050,0.9000000000000001
64,14001,0.7000000000000001
65,23059,0.9999999999999999
66,23056,1.4
67,23096,1.7999999999999998
68,23010,1.5000000000000002
69,23027,2.2
70,23032,1.7000000000000002
71,23049,1.5999999999999999
72,23061,2.1
73,23085,1.8
74,23904,0.0
75,23047,0.0
76,23080,0.0
77,41011,2.3000000000000003
78,11015,71.2
79,29094,20.900000000000002
80,4052,-1.0
81,29067,4.8
82,23071,0.0
83,23072,0.0
84,23062,0.0
85,23048,0.0
86,23095,0.0
87,23021,1.6
88,23039,-1.0
89,23038,2.1
90,23086,2.1999999999999997
91,23007,1.8
92,14016,0.7
93,23012,0.0
94,41002,1.6
95,41004,2.9
96,41008,0.8
97,41009,0.7999999999999999
98,41010,0.8
99,41040,0.8
100,41016,0.8
101,41017,0.9000000000000001
102,41034,1.2000000000000002
103,41059,0.8
104,41070,0.8
105,41021,0.8
106,41028,0.7
107,41087,0.8
108,41094,0.8
109,41098,1.1
110,41006,0.8
111,41048,1.0
112,21061,1.6
113,14066,0.7999999999999999
114,14055,3.4000000000000004
115,14002,0.4
116,14012,1.0000000000000002
117,14067,0.9000000000000001
118,14058,1.2000000000000002
119,14007,2.2
120,14052,0.4
121,14029,1.3
122,14014,0.9
123,29001,0.2
124,18100,8.1
125,18014,2.2
126,18145,2.2
127,18062,0.9
128,18057,0.9
129,18905,2.0
130,18102,4.2
131,18107,11.4
132,18136,0.8
133,18013,12.6
134,18138,9.2
135,18171,10.0
136,23042,0.6000000000000001
137,18117,1.2000000000000002
138,18108,1.2000000000000002
139,18152,0.1
140,18127,1.2
141,18003,1.0
142,18165,0.5
143,18022,1.0
144,18153,1.2
145,18087,0.7000000000000001
146,41085,1.1
147,41086,0.8
148,41079,1.4
149,41081,1.1
150,41091,1.0
151,41038,-1.0
152,41044,1.4
153,41007,0.8
154,41089,0.8
155,23065,0.0
156,23091,0.0
157,18082,0.0
158,18098,0.0
159,18056,0.6000000000000001
160,18164,-1.0
161,18168,0.8
162,18038,2.0
163,18188,8.1
164,18066,0.8
165,18134,0.8
166,14013,0.1
167,14046,0.30000000000000004
168,14017,1.3
169,14004,4.6
170,14032,0.7
171,14024,0.9
172,29047,0.5
173,14010,0.2
174,41060,1.7999999999999998
175,41077,0.9
176,18914,3.5
177,18105,0.7
178,18137,2.0
179,18028,2.0
180,18051,2.3000000000000003
181,23002,4.7
182,18076,0.1
183,18167,0.1
184,18907,0.1
185,18027,0.1
186,18054,0.1
187,18025,0.1
188,18128,0.1
189,18072,8.1
190,18126,2.9000000000000004
191,18187,0.6000000000000001
192,14042,0.4
193,14040,0.5
194,14057,0.30000000000000004
195,41072,0.2
196,22151,2.3
197,41024,0.9
198,41092,0.8
199,41099,0.9000000000000001
200,41018,2.4000000000000004
201,41023,1.1
202,41101,2.4000000000000004
203,29088,0.2
204,14044,0.30000000000000004
205,41001,1.0
206,18036,0.7000000000000001
207,18021,0.7000000000000001
208,18911,1.0
209,18157,0.8
210,18047,0.8
211,21044,1.5
212,21021,-1.0
213,21002,10.0
214,21060,1.6
215,21035,3.4000000000000004
216,21041,6.9
217,21064,2.0
218,21050,1.8
219,11030,8.5
220,11027,39.5
221,11028,35.3
222,11034,0.7
223,11036,1.1
224,11024,1.0999999999999999
225,11002,0.7
226,11009,0.9
227,11014,14.200000000000001
228,11039,18.9
229,11023,14.600000000000001
230,11007,1.1
231,11035,7.699999999999999
232,11008,5.8999999999999995
233,11001,5.4
234,11901,3.4
235,11020,11.9
236,11006,16.099999999999998
237,29046,2.2
238,11038,0.8
239,11040,1.3
240,11033,4.2
241,11013,5.6
242,29041,8.9
243,11903,-1.0
244,29068,16.400000000000002
245,29063,-1.0
246,29022,2.2
247,29024,3.5
248,29064,3.2
249,29006,3.5
250,29051,14.6
251,29069,70.3
252,29023,57.2
253,29070,13.1
254,29017,0.8
255,29015,1.8
256,29059,0.5
257,29072,0.6000000000000001
258,29097,5.6
259,29038,17.3
260,29012,9.0
261,29007,10.5
262,29080,8.3
263,29035,1.1
264,29089,3.4
265,29040,20.4
266,29058,34.9
267,29073,34.9
268,29042,-1.0
269,29082,11.1
270,29066,13.1
271,29005,20.900000000000002
272,29091,14.6
273,29075,10.5
274,29053,7.699999999999999
275,29026,11.1
276,29050,12.100000000000001
277,18017,31.700000000000003
278,18109,-1.0
279,18140,31.8
280,18173,37.6
281,18133,31.8
282,18916,-1.0
283,18093,29.200000000000003
284,18124,30.0
285,18177,33.4
286,18006,26.2
287,4003,-1.0
288,4029,-1.0
289,4902,-1.0
290,4038,-1.0
291,4102,-1.0
292,4903,-1.0
293,4079,-1.0
294,4041,-1.0
295,4013,-1.0
296,4074,-1.0
297,4024,-1.0
298,4078,-1.0
299,4081,-1.0
300,4047,-1.0
301,4101,-1.0
302,4066,-1.0
303,4032,-1.0
304,4093,-1.0
305,4064,-1.0
306,4048,-1.0
307,4100,-1.0
308,4049,-1.0
309,29032,0.4
310,18162,33.5
311,4086,-1.0
312,29019,-1.0
313,29099,20.2
314,18192,10.8
315,29054,14.2
316,4006,-1.0
317,4076,-1.0
318,4017,-1.0
319,4092,-1.0
320,4018,-1.0
321,11022,4.2
322,4080,-1.0
323,4059,-1.0
324,4083,-1.0
325,4008,-1.0
326,4046,-1.0
327,11004,6.2
328,29901,8.9
329,29071,10.7
330,21042,6.2
331,21010,6.5
332,14006,1.0
333,14023,0.8
334,4037,-1.0
335,4063,-1.0
336,4035,-1.0
337,4075,-1.0
338,4098,-1.0
339,4099,-1.0
